"year_month","primary_type","ward","crime_count","was_arrested_count","was_domestic_count"
"2017-01","BURGLARY",28,22,1,1
"2017-01","BURGLARY",29,27,0,2
"2017-01","BURGLARY",30,26,0,0
"2017-01","BURGLARY",31,43,2,0
"2017-01","BURGLARY",32,43,1,1
"2017-01","BURGLARY",33,10,1,0
"2017-01","BURGLARY",34,34,0,1
"2017-01","BURGLARY",35,24,0,0
"2017-01","BURGLARY",36,32,1,0
"2017-01","BURGLARY",37,40,3,1
"2017-01","BURGLARY",38,19,3,0
"2017-01","BURGLARY",39,8,1,0
"2017-01","BURGLARY",40,8,1,0
"2017-01","BURGLARY",41,10,1,0
"2017-01","BURGLARY",42,12,0,0
"2017-01","BURGLARY",43,15,1,0
"2017-01","BURGLARY",44,28,2,0
"2017-01","BURGLARY",45,21,1,0
"2017-01","BURGLARY",46,22,0,0
"2017-01","BURGLARY",47,15,2,0
"2017-01","BURGLARY",48,15,0,0
"2017-01","BURGLARY",49,22,3,0
"2017-01","BURGLARY",50,21,0,0
"2017-01","CONCEALED CARRY LICENSE VIOLATION",16,1,1,0
"2017-01","CONCEALED CARRY LICENSE VIOLATION",23,1,1,0
"2017-01","CONCEALED CARRY LICENSE VIOLATION",34,1,1,0
"2017-01","CONCEALED CARRY LICENSE VIOLATION",41,3,2,0
"2017-01","CONCEALED CARRY LICENSE VIOLATION",43,1,1,0
"2017-01","CRIM SEXUAL ASSAULT",1,4,0,1
"2017-01","CRIM SEXUAL ASSAULT",2,5,1,0
"2017-01","CRIM SEXUAL ASSAULT",3,3,0,1
"2017-01","CRIM SEXUAL ASSAULT",4,2,0,0
"2017-01","CRIM SEXUAL ASSAULT",5,7,0,2
"2017-01","CRIM SEXUAL ASSAULT",6,6,0,2
"2017-01","CRIM SEXUAL ASSAULT",7,5,0,3
"2017-01","CRIM SEXUAL ASSAULT",8,6,1,0
"2017-01","CRIM SEXUAL ASSAULT",9,3,2,1
"2017-01","CRIM SEXUAL ASSAULT",10,3,0,1
"2017-01","CRIM SEXUAL ASSAULT",11,1,1,1
"2017-01","CRIM SEXUAL ASSAULT",12,2,1,1
"2017-01","CRIM SEXUAL ASSAULT",13,1,0,0
"2017-01","CRIM SEXUAL ASSAULT",14,1,0,0
"2017-01","CRIM SEXUAL ASSAULT",15,2,2,1
"2017-01","CRIM SEXUAL ASSAULT",16,3,0,0
"2017-01","CRIM SEXUAL ASSAULT",17,3,0,1
"2017-01","CRIM SEXUAL ASSAULT",20,3,0,0
"2017-01","CRIM SEXUAL ASSAULT",21,4,0,1
"2017-01","CRIM SEXUAL ASSAULT",22,1,0,0
"2017-01","CRIM SEXUAL ASSAULT",24,3,0,1
"2017-01","CRIM SEXUAL ASSAULT",25,2,0,0
"2017-01","CRIM SEXUAL ASSAULT",26,3,0,0
"2017-01","CRIM SEXUAL ASSAULT",27,3,0,0
"2017-01","CRIM SEXUAL ASSAULT",28,4,1,1
"2017-01","CRIM SEXUAL ASSAULT",29,5,1,0
"2017-01","CRIM SEXUAL ASSAULT",30,2,0,0
"2017-01","CRIM SEXUAL ASSAULT",31,2,1,0
"2017-01","CRIM SEXUAL ASSAULT",32,1,0,0
"2017-01","CRIM SEXUAL ASSAULT",33,1,0,1
"2017-01","CRIM SEXUAL ASSAULT",34,4,0,0
"2017-01","CRIM SEXUAL ASSAULT",35,2,1,0
"2017-01","CRIM SEXUAL ASSAULT",36,1,1,0
"2017-01","CRIM SEXUAL ASSAULT",37,4,0,0
"2017-01","CRIM SEXUAL ASSAULT",40,3,0,1
"2017-01","CRIM SEXUAL ASSAULT",42,4,1,1
"2017-01","CRIM SEXUAL ASSAULT",43,2,0,0
"2017-01","CRIM SEXUAL ASSAULT",44,1,0,0
"2017-01","CRIM SEXUAL ASSAULT",45,2,0,1
"2017-01","CRIM SEXUAL ASSAULT",46,5,0,1
"2017-01","CRIM SEXUAL ASSAULT",47,3,1,1
"2017-01","CRIM SEXUAL ASSAULT",48,1,0,0
"2017-01","CRIM SEXUAL ASSAULT",49,2,0,0
"2017-01","CRIM SEXUAL ASSAULT",50,1,0,0
"2017-01","CRIMINAL DAMAGE",1,57,3,1
"2017-01","CRIMINAL DAMAGE",2,77,6,7
"2017-01","CRIMINAL DAMAGE",3,52,0,7
"2017-01","CRIMINAL DAMAGE",4,46,2,4
"2017-01","CRIMINAL DAMAGE",5,63,2,10
"2017-01","CRIMINAL DAMAGE",6,82,10,19
"2017-01","CRIMINAL DAMAGE",7,68,6,12
"2017-01","CRIMINAL DAMAGE",8,60,3,5
"2017-01","CRIMINAL DAMAGE",9,67,3,17
"2017-01","CRIMINAL DAMAGE",10,56,3,6
"2017-01","CRIMINAL DAMAGE",11,49,3,3
"2017-01","CRIMINAL DAMAGE",12,30,2,3
"2017-01","CRIMINAL DAMAGE",13,78,1,3
"2017-01","CRIMINAL DAMAGE",14,38,5,5
"2017-01","CRIMINAL DAMAGE",15,70,4,12
"2017-01","CRIMINAL DAMAGE",16,52,3,6
"2017-01","CRIMINAL DAMAGE",17,81,2,17
"2017-01","CRIMINAL DAMAGE",18,61,2,8
"2017-01","CRIMINAL DAMAGE",19,24,0,3
"2017-01","CRIMINAL DAMAGE",20,67,2,15
"2017-01","CRIMINAL DAMAGE",21,79,5,19
"2017-01","CRIMINAL DAMAGE",22,28,3,5
"2017-01","CRIMINAL DAMAGE",23,27,1,1
"2017-01","CRIMINAL DAMAGE",24,100,8,21
"2017-01","CRIMINAL DAMAGE",25,39,5,4
"2017-01","CRIMINAL DAMAGE",26,44,1,5
"2017-01","CRIMINAL DAMAGE",27,84,1,5
"2017-01","CRIMINAL DAMAGE",28,97,10,14
"2017-01","CRIMINAL DAMAGE",29,61,3,13
"2017-01","CRIMINAL DAMAGE",30,30,3,3
"2017-01","CRIMINAL DAMAGE",31,30,1,3
"2017-01","CRIMINAL DAMAGE",32,33,0,2
"2017-01","CRIMINAL DAMAGE",33,23,0,0
"2017-01","CRIMINAL DAMAGE",34,72,2,12
"2017-01","CRIMINAL DAMAGE",35,35,1,2
"2017-01","CRIMINAL DAMAGE",36,29,2,1
"2017-01","CRIMINAL DAMAGE",37,62,6,14
"2017-01","CRIMINAL DAMAGE",38,32,0,1
"2017-01","CRIMINAL DAMAGE",39,24,0,2
"2017-01","CRIMINAL DAMAGE",40,25,2,2
"2017-01","CRIMINAL DAMAGE",41,19,1,0
"2017-01","CRIMINAL DAMAGE",42,54,4,0
"2017-01","CRIMINAL DAMAGE",43,41,1,1
"2017-01","CRIMINAL DAMAGE",44,19,2,0
"2017-01","CRIMINAL DAMAGE",45,27,0,0
"2017-01","CRIMINAL DAMAGE",46,13,3,0
"2017-01","CRIMINAL DAMAGE",47,21,1,1
"2017-01","CRIMINAL DAMAGE",48,23,4,1
"2017-01","CRIMINAL DAMAGE",49,38,2,2
"2017-01","CRIMINAL DAMAGE",50,27,0,1
"2017-01","CRIMINAL SEXUAL ASSAULT",7,1,0,0
"2017-01","CRIMINAL SEXUAL ASSAULT",8,1,0,0
"2017-01","CRIMINAL SEXUAL ASSAULT",12,1,0,1
"2017-01","CRIMINAL SEXUAL ASSAULT",14,1,0,0
"2017-01","CRIMINAL SEXUAL ASSAULT",17,1,1,0
"2017-01","CRIMINAL SEXUAL ASSAULT",21,1,0,0
"2017-01","CRIMINAL SEXUAL ASSAULT",24,1,1,1
"2017-01","CRIMINAL SEXUAL ASSAULT",27,1,0,0
"2017-01","CRIMINAL SEXUAL ASSAULT",28,1,0,1
"2017-01","CRIMINAL SEXUAL ASSAULT",29,1,0,1
"2017-01","CRIMINAL SEXUAL ASSAULT",36,1,0,0
"2017-01","CRIMINAL SEXUAL ASSAULT",42,1,0,0
"2017-01","CRIMINAL TRESPASS",1,9,2,0
"2017-01","CRIMINAL TRESPASS",2,41,31,0
"2017-01","CRIMINAL TRESPASS",3,19,18,0
"2017-01","CRIMINAL TRESPASS",4,10,4,0
"2017-01","CRIMINAL TRESPASS",5,16,9,0
"2017-01","CRIMINAL TRESPASS",6,20,18,0
"2017-01","CRIMINAL TRESPASS",7,10,3,0
"2017-01","CRIMINAL TRESPASS",8,10,6,1
"2017-01","CRIMINAL TRESPASS",9,14,12,2
"2017-01","CRIMINAL TRESPASS",10,7,4,0
"2017-01","CRIMINAL TRESPASS",11,7,1,0
"2017-01","CRIMINAL TRESPASS",12,4,2,0
"2017-01","CRIMINAL TRESPASS",13,6,4,0
"2017-01","CRIMINAL TRESPASS",14,4,1,0
"2017-01","CRIMINAL TRESPASS",15,13,8,0
"2017-01","CRIMINAL TRESPASS",16,13,10,1
"2017-01","CRIMINAL TRESPASS",17,26,23,0
"2017-01","CRIMINAL TRESPASS",18,7,6,0
"2017-01","CRIMINAL TRESPASS",19,4,0,0
"2017-01","CRIMINAL TRESPASS",20,12,6,0
"2017-01","CRIMINAL TRESPASS",21,22,16,3
"2017-01","CRIMINAL TRESPASS",22,4,2,0
"2017-01","CRIMINAL TRESPASS",23,7,6,1
"2017-01","CRIMINAL TRESPASS",24,22,20,0
"2017-01","CRIMINAL TRESPASS",25,4,2,0
"2017-01","CRIMINAL TRESPASS",26,6,4,0
"2017-01","CRIMINAL TRESPASS",27,21,12,0
"2017-01","CRIMINAL TRESPASS",28,23,17,0
"2017-01","CRIMINAL TRESPASS",29,11,5,2
"2017-01","CRIMINAL TRESPASS",30,12,5,1
"2017-01","CRIMINAL TRESPASS",31,5,2,1
"2017-01","CRIMINAL TRESPASS",32,11,5,0
"2017-01","CRIMINAL TRESPASS",33,3,1,0
"2017-01","CRIMINAL TRESPASS",34,21,12,2
"2017-01","CRIMINAL TRESPASS",35,9,4,0
"2017-01","CRIMINAL TRESPASS",36,7,3,0
"2017-01","CRIMINAL TRESPASS",37,6,2,0
"2017-01","CRIMINAL TRESPASS",38,4,3,0
"2017-01","CRIMINAL TRESPASS",39,2,0,0
"2017-01","CRIMINAL TRESPASS",40,7,2,1
"2017-01","CRIMINAL TRESPASS",41,22,14,0
"2017-01","CRIMINAL TRESPASS",42,30,20,0
"2017-01","CRIMINAL TRESPASS",43,5,1,0
"2017-01","CRIMINAL TRESPASS",44,7,1,0
"2017-01","CRIMINAL TRESPASS",45,7,2,1
"2017-01","CRIMINAL TRESPASS",46,8,5,1
"2017-01","CRIMINAL TRESPASS",47,8,1,0
"2017-01","CRIMINAL TRESPASS",48,2,2,0
"2017-01","CRIMINAL TRESPASS",49,11,5,0
"2017-01","CRIMINAL TRESPASS",50,12,2,0
"2017-01","DECEPTIVE PRACTICE",1,52,1,0
"2017-01","DECEPTIVE PRACTICE",2,106,3,1
"2017-01","DECEPTIVE PRACTICE",3,36,2,0
"2017-01","DECEPTIVE PRACTICE",4,36,0,0
"2017-01","DECEPTIVE PRACTICE",5,39,1,2
"2017-01","DECEPTIVE PRACTICE",6,35,3,0
"2017-01","DECEPTIVE PRACTICE",7,37,0,1
"2017-01","DECEPTIVE PRACTICE",8,31,0,0
"2017-01","DECEPTIVE PRACTICE",9,26,2,0
"2017-01","DECEPTIVE PRACTICE",10,16,1,1
"2017-01","DECEPTIVE PRACTICE",11,19,1,0
"2017-01","DECEPTIVE PRACTICE",12,12,0,0
"2017-01","DECEPTIVE PRACTICE",13,22,0,0
"2017-01","DECEPTIVE PRACTICE",14,8,2,0
"2017-01","DECEPTIVE PRACTICE",15,21,1,0
"2017-01","DECEPTIVE PRACTICE",16,24,0,0
"2017-01","DECEPTIVE PRACTICE",17,29,1,0
"2017-01","DECEPTIVE PRACTICE",18,25,1,0
"2017-01","DECEPTIVE PRACTICE",19,25,0,0
"2017-01","DECEPTIVE PRACTICE",20,22,1,1
"2017-01","DECEPTIVE PRACTICE",21,41,2,1
"2017-01","DECEPTIVE PRACTICE",22,7,0,0
"2017-01","DECEPTIVE PRACTICE",23,32,1,0
"2017-01","DECEPTIVE PRACTICE",24,35,3,0
"2017-01","DECEPTIVE PRACTICE",25,18,0,0
"2017-01","DECEPTIVE PRACTICE",26,23,0,0
"2017-01","DECEPTIVE PRACTICE",27,54,0,0
"2017-01","DECEPTIVE PRACTICE",28,40,2,0
"2017-01","DECEPTIVE PRACTICE",29,28,0,0
"2017-01","DECEPTIVE PRACTICE",30,12,0,0
"2017-01","DECEPTIVE PRACTICE",31,19,3,0
"2017-01","DECEPTIVE PRACTICE",32,44,3,0
"2017-01","DECEPTIVE PRACTICE",33,16,0,0
"2017-01","DECEPTIVE PRACTICE",34,31,1,1
"2017-01","DECEPTIVE PRACTICE",35,21,1,0
"2017-01","DECEPTIVE PRACTICE",36,21,1,0
"2017-01","DECEPTIVE PRACTICE",37,28,2,1
"2017-01","DECEPTIVE PRACTICE",38,26,2,0
"2017-01","DECEPTIVE PRACTICE",39,9,0,0
"2017-01","DECEPTIVE PRACTICE",40,22,2,0
"2017-01","DECEPTIVE PRACTICE",41,32,1,0
"2017-01","DECEPTIVE PRACTICE",42,224,20,2
"2017-01","DECEPTIVE PRACTICE",43,41,0,0
"2017-01","DECEPTIVE PRACTICE",44,40,3,0
"2017-01","DECEPTIVE PRACTICE",45,25,0,0
"2017-01","DECEPTIVE PRACTICE",46,24,0,0
"2017-01","DECEPTIVE PRACTICE",47,28,1,0
"2017-01","DECEPTIVE PRACTICE",48,29,2,0
"2017-01","DECEPTIVE PRACTICE",49,21,0,1
"2017-01","DECEPTIVE PRACTICE",50,25,0,0
"2017-01","GAMBLING",39,1,1,0
"2017-01","HOMICIDE",2,3,1,0
"2017-01","HOMICIDE",3,1,0,0
"2017-01","HOMICIDE",4,2,1,0
"2017-01","HOMICIDE",6,3,1,0
"2017-01","HOMICIDE",7,2,1,0
"2017-01","HOMICIDE",8,2,0,0
"2017-01","HOMICIDE",9,1,0,0
"2017-01","HOMICIDE",10,1,1,0
"2017-01","HOMICIDE",12,4,1,0
"2017-01","HOMICIDE",14,2,0,0
"2017-01","HOMICIDE",16,1,0,0
"2017-01","HOMICIDE",17,2,0,0
"2017-01","HOMICIDE",18,1,0,0
"2017-01","HOMICIDE",21,2,1,0
"2017-01","HOMICIDE",22,1,0,0
"2017-01","HOMICIDE",24,6,0,0
"2017-01","HOMICIDE",27,1,0,0
"2017-01","HOMICIDE",28,8,0,0
"2017-01","HOMICIDE",29,3,0,0
"2017-01","HOMICIDE",30,1,0,0
"2017-01","HOMICIDE",31,1,1,0
"2017-01","HOMICIDE",32,2,0,0
"2017-01","HOMICIDE",34,1,1,0
"2017-01","HOMICIDE",36,1,0,0
"2017-01","HOMICIDE",37,1,0,0
"2017-01","HOMICIDE",40,1,0,0
"2017-01","HOMICIDE",46,1,1,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",2,1,1,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",3,6,4,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",5,1,1,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",6,6,6,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",7,2,2,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",8,3,3,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",9,7,7,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",10,1,1,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",12,2,2,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",13,1,1,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",15,1,1,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",16,7,6,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",17,4,4,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",18,1,1,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",20,5,5,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",21,3,3,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",24,6,5,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",25,1,1,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",27,2,2,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",28,8,8,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",29,1,1,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",31,4,3,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",34,2,2,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",37,1,1,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",41,1,0,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",42,2,2,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",43,1,1,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",46,1,1,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",49,1,1,0
"2017-01","INTERFERENCE WITH PUBLIC OFFICER",50,2,2,0
"2017-01","INTIMIDATION",12,2,0,0
"2017-01","INTIMIDATION",17,1,0,0
"2017-01","INTIMIDATION",23,1,1,1
"2017-01","INTIMIDATION",24,1,0,0
"2017-01","INTIMIDATION",25,1,0,0
"2017-01","INTIMIDATION",30,1,0,0
"2017-01","INTIMIDATION",37,1,0,1
"2017-01","INTIMIDATION",50,1,0,0
"2017-01","KIDNAPPING",4,1,0,0
"2017-01","KIDNAPPING",10,1,0,0
"2017-01","KIDNAPPING",14,1,0,1
"2017-01","KIDNAPPING",17,1,0,1
"2017-01","KIDNAPPING",20,1,0,1
"2017-01","KIDNAPPING",24,1,0,1
"2017-01","KIDNAPPING",28,1,0,0
"2017-01","KIDNAPPING",32,1,0,0
"2017-01","LIQUOR LAW VIOLATION",1,1,1,0
"2017-01","LIQUOR LAW VIOLATION",3,3,3,0
"2017-01","LIQUOR LAW VIOLATION",12,1,1,0
"2017-01","LIQUOR LAW VIOLATION",13,1,1,0
"2017-01","LIQUOR LAW VIOLATION",16,2,2,0
"2017-01","LIQUOR LAW VIOLATION",26,1,1,0
"2017-01","LIQUOR LAW VIOLATION",30,1,1,0
"2017-01","MOTOR VEHICLE THEFT",1,21,3,0
"2017-01","MOTOR VEHICLE THEFT",2,38,1,0
"2017-01","MOTOR VEHICLE THEFT",3,19,2,0
"2017-01","MOTOR VEHICLE THEFT",4,19,1,0
"2017-01","MOTOR VEHICLE THEFT",5,17,0,0
"2017-01","MOTOR VEHICLE THEFT",6,23,0,1
"2017-01","MOTOR VEHICLE THEFT",7,28,3,1
"2017-01","MOTOR VEHICLE THEFT",8,26,1,0
"2017-01","MOTOR VEHICLE THEFT",9,18,1,0
"2017-01","MOTOR VEHICLE THEFT",10,23,1,2
"2017-01","MOTOR VEHICLE THEFT",11,15,0,0
"2017-01","MOTOR VEHICLE THEFT",12,14,1,0
"2017-01","MOTOR VEHICLE THEFT",13,41,5,0
"2017-01","MOTOR VEHICLE THEFT",14,22,7,0
"2017-01","MOTOR VEHICLE THEFT",15,19,3,0
"2017-01","MOTOR VEHICLE THEFT",16,23,3,1
"2017-01","MOTOR VEHICLE THEFT",17,25,5,1
"2017-01","MOTOR VEHICLE THEFT",18,36,2,0
"2017-01","MOTOR VEHICLE THEFT",19,5,0,0
"2017-01","MOTOR VEHICLE THEFT",20,25,2,0
"2017-01","MOTOR VEHICLE THEFT",21,29,1,0
"2017-01","MOTOR VEHICLE THEFT",22,15,1,0
"2017-01","MOTOR VEHICLE THEFT",23,15,2,0
"2017-01","MOTOR VEHICLE THEFT",24,49,3,1
"2017-01","MOTOR VEHICLE THEFT",25,19,5,0
"2017-01","MOTOR VEHICLE THEFT",26,39,7,0
"2017-01","MOTOR VEHICLE THEFT",27,67,9,0
"2017-01","MOTOR VEHICLE THEFT",28,45,5,0
"2017-01","MOTOR VEHICLE THEFT",29,25,3,0
"2017-01","MOTOR VEHICLE THEFT",30,34,7,0
"2017-01","MOTOR VEHICLE THEFT",31,50,8,0
"2017-01","MOTOR VEHICLE THEFT",32,20,0,0
"2017-01","MOTOR VEHICLE THEFT",33,18,4,0
"2017-01","MOTOR VEHICLE THEFT",34,23,2,0
"2017-01","MOTOR VEHICLE THEFT",35,22,2,0
"2017-01","MOTOR VEHICLE THEFT",36,19,2,0
"2017-01","MOTOR VEHICLE THEFT",37,35,7,0
"2017-01","MOTOR VEHICLE THEFT",38,27,3,0
"2017-01","MOTOR VEHICLE THEFT",39,17,1,0
"2017-01","MOTOR VEHICLE THEFT",40,12,1,0
"2017-01","MOTOR VEHICLE THEFT",41,7,1,0
"2017-01","MOTOR VEHICLE THEFT",42,26,0,0
"2017-01","MOTOR VEHICLE THEFT",43,11,0,0
"2017-01","MOTOR VEHICLE THEFT",44,18,4,0
"2017-01","MOTOR VEHICLE THEFT",45,9,1,0
"2017-01","MOTOR VEHICLE THEFT",46,7,1,0
"2017-01","MOTOR VEHICLE THEFT",47,15,1,0
"2017-01","MOTOR VEHICLE THEFT",48,8,1,0
"2017-01","MOTOR VEHICLE THEFT",49,9,2,0
"2017-01","MOTOR VEHICLE THEFT",50,26,2,0
"2017-01","NARCOTICS",1,3,3,0
"2017-01","NARCOTICS",2,29,29,0
"2017-01","NARCOTICS",3,15,15,0
"2017-01","NARCOTICS",4,3,3,0
"2017-01","NARCOTICS",5,7,7,0
"2017-01","NARCOTICS",6,30,30,0
"2017-01","NARCOTICS",7,8,8,0
"2017-01","NARCOTICS",8,16,16,1
"2017-01","NARCOTICS",9,21,21,0
"2017-01","NARCOTICS",10,10,10,0
"2017-01","NARCOTICS",11,5,5,0
"2017-01","NARCOTICS",12,16,16,0
"2017-01","NARCOTICS",13,6,6,0
"2017-01","NARCOTICS",14,15,15,0
"2017-01","NARCOTICS",15,32,32,0
"2017-01","NARCOTICS",16,45,45,0
"2017-01","NARCOTICS",17,38,38,0
"2017-01","NARCOTICS",18,7,7,0
"2017-01","NARCOTICS",19,1,1,0
"2017-01","NARCOTICS",20,8,8,0
